"CF_PR","UP_CF1","UP_CF2","UP_CF3","UP_CF4","UP_CF5","DW_CF1","DW_CF2","DW_CF3","DW_CF4","DW_CF5","WT1","CTR_IF1","CTR_TH1","CTR_IF2","CTR_TH2","CTR_IF3","CTR_TH3","CTR_IF4","CTR_TH4","CRT_IF5","CTR_TH5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","GAF_Q1","Regret","Guilt","Shame","Comments","Gender","Age","Race","Ethnicity","Origin","Education","Marital","Live","Spirituality","Upward_Participants","Downward_Participants","Control_Participants","UP_Coun_Num","DOWN_Coun_Num","Participants","Count_Num","CF_1","CF_2","CF_3","CF_4","CF_5","CF_1_Tot","CF_2_Tot","CF_3_Tot","CF_4_Tot","CF_5_Tot","CF_Tot","CF_Tot_All","Postitive_Affect","Negative_Affect"
"When I got a bad grade on my test","","","","","","N/A","no comment","","","","So first I wake up. Brush my teeth, shower, wash my face. Then, I put on my clothes and do my morning routine. I then go to to eat breakfast and go to class or the library depending on what day it is. After my classes I eat lunch, workout",3,3,7,8,7,3,8,7,8,8,3,2,3,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,"",1,1,1,"","","","",NA,"",NA,NA,NA,NA,0,1,0,0,0,"2",0,9,56,21,56,64,Inf,Inf,Inf,Inf,Inf,261,52.2,27,24
"Once I got yelled at buy a guy that I accidentally stole a parking spot from. I did not mean to steal his parking spot. In hindsight, I realized he was backing into the spot and not driving out of the parking lot. It was a very small parking lot and very confusing and he was very far from the spot. After I parked and got out of my car, he yelled at me “At least park well if you’re gonna steal my parking spot”. There was a parking spot literally two cars down from me. It was not a big deal. But I stayed silent and walked away. He probably had a bad day or something","","","","","","","","","","","First I wake up, check my phone, brush my teeth, put on clothes and all that morning stuff. I have oatmeal or something quick for breakfast. Then I go to statistics. After statistics I got to HES. Then, I work out. After working out I go back to my dorm, shower, change, and go get lunch with my friends and do work. After that, I either have a little break, do work, or go to meetings. Then, I go to my FYS class. After that I normally have a meeting or something else to do. Then I get dinner and then I might go to RUF or younglife or something else like chapter depending on what day it is. I normally finish all my homework on Sunday so I might study or finish something else up. Then I might watch tv if I have time and have a snack then get ready for bed and go to sleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,1,1,1,2,1,2,2,1,2,1,3,4,5,2,1,"I feel like I should’ve stood up for myself. I also hope that guy is having a better day than he was that day.",1,1,1,"No","Female","18","White",2,"US",1,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,16
"One time I had a falling out with a friend because she did not help with an important academic group project. I had reminded her many times and tried to find her on campus but could not. She ghosted me. I was pretty upset because it caused our grade to not be great. She didn't contact me for two months (partially during Winter Break). A couple days before the Spring semester she sends a text explaining herself and hoping we could be friends, though she didn't apologize in the text. We are friends now, but not as close as before.","If she had apologized in the text, then I would have been more forgiving and we would be closer friends.","If she had not ghosted me, then we would have done better on the assignment and not had the friend falling out.","If I had not asked her to be in a group project together, then we could separate friendship and academics more.","If I had given her a final deadline to complete her part of the project that was well in advance, then I could have known she wouldn't have done it and I would do the whole project.","If I had gone to the professor about it, then he may have been more lenient about grading.","","","","","","I wake up at 9am on most days. I put on an outfit and get ready in the bathroom. I go to my first class, gen chem II. At 10:45 I go to the pit and eat food with a friend. At 11:30 I take the shuttle to Wake Downtown. I work on homework there or look at the biochem lecture before class. At 12:45 I have biochem class. At 2pm I take the shuttle back to campus. I do some assignments or sit outside until 3:30, when I have my women gender studies class. Then I either have chemistry lab until 9pm or I go eat food and go to the library to do more homework. At around midnight I go to my dorm and hang out with my roommate and suitemate, then shower and go to sleep. Other days I go to volunteer for a couple hours, but that is not everyday.",6,9,8,4,7,4,2,4,9,2,4,4,2,4,2,4,3,1,3,2,4,3,4,2,5,4,3,4,3,3,"I don't feel good about it.",2,2,2,"None","Female","19","White and Asian",2,"USA",2,2,2,2,1,0,0,5,0,"1",5,54,32,28,8,18,10.8,6.4,5.6,1.6,3.6,80,16,28,36
"A significant other told me things weren't going to work out for a number of reasons, most of them made up. Not only that, we hadn't talked in several weeks and it was in public. I had an idea it was going to happen, and it happened before a break from school, but she brought it out when we returned from break. I was extremely angry and sad at the same time, I couldn't focus schoolwork and had to walk around campus for a while and call a friend to sort myself out.","","","","","","If I hadn't stood up for myself in the moment, then I would've felt regret at the fact that I could've stood up to her.","If I wouldn't have texted her over the break, then this whole ordeal wouldn't have happened","If she had made it more clear we were finished before break, then I would've spent break trying to get myself back together rather than thinking about her","If I would've ignored her invitation, I would've felt much less stress, anger, and confusion","","I wake up before my class, grab food that I have leftover for breakfast, get dressed and walk to class. Most days, I have two classes in a row, so I go to those and then go to the Pit to have lunch with some of my friends around 11. Then, I go back to my room and get started on homework, play video games, or do laundry. I go to the gym before late afternoon, then return to my room to get more homework done. Around 6, I go get dinner with some of the guys in my fraternity and chill with them for a bit. After that, I either play video games or watch any sports that are on, specifically hockey or basketball. This typically lasts until I shower at night and go to bed. If not, I spend time with my girlfriend until I decide to shower or until she kicks me out.",2,4,7,4,6,5,1,4,3,3,3,1,1,1,2,1,1,1,2,3,3,4,1,2,2,3,3,2,2,1,"Still pretty annoyed, but not unhappy or anything. I'm not dwelling on it much",3,5,4,"It was interesting how experience was interspersed with examination of a general day in the life to take emotional charge out of the negative situation.","Male","19","White",2,"United States",1,2,2,4,0,1,0,0,4,"2",4,8,28,30,4,9,2,7,7.5,1,2.25,56,11.2,25,14
"I found out that someone I knew said something hurtful about me.  This caused me to lose trust in the person, and also briefly resent them.  I am not very close with this person, so I did not feel that it was necessary to talk to them about it.","If I had talked to him, then our relationship could of been stronger.","If he was a nicer person, he then likely would not have said something hurtful.","If I didn't find out, I would of then thought of him in a better light.","If I held a grudge, then our relationship would be worse, and I would feel worse.","If I break people's trust, then other people will feel what I felt.","","","","","","I usually wake up early since I have a 9 am class most days of the week.  Between my first and my second class, I chill in my room or work on HW depending on how tired I am or much work I have.  After my second class usually around noon, I grab lunch with friends.  After my last class at 2, I usually work on chores like cleaning the room or laundry, or finish my homework.  If I have time, I like to play basketball or go to the gym during this time as well.  I usually eat dinner with members of my fraternity at 6, and after that, I finish up HW if I still have some, or hang out with my roommates in our room.  I usually go to bed around 12 or 1.",8,9,4,5,9,9,5,5,5,5,3,2,2,1,3,1,1,1,2,2,1,2,1,2,1,3,4,1,3,1,"I feel better being able to reflect on it.",3,1,1,"When I say regret, I specifically don't regret my actins, but instead lack thereof.","Male","30","Caucasian",2,"USA",1,2,1,2,1,0,0,5,0,"1",5,72,20,81,25,25,14.4,4,16.2,5,5,181,36.2,26,11
"Recently, my relationship of many years ended. He was my best friend before we started dating and we promised each other that if we ever broke up, we would try our best to work our way back to being best friends. We broke up before college started for us but ended up falling back into old patterns of communication and interactions. We decided to continue an emotional involvement in the most ambiguous way which was annoying to me but we loved each other and I thought that he was the one for me. Then, this semester started and things went downhill. He ghosted me for weeks and then we eventually talked and ended things for good. We have been trying our best to talk a little bit once in a while because restoring our friendship is a priority for us both, but I've been feeling extremely weird about talking to him knowing that he's doing things with other girls. It's getting too much for me to handle and I find myself shutting down.","","","","","","","","","","","Wake up, go to the bathroom to brush my teeth, shower, etc, come back and make a cup of tea, get back into bed for a bit, and wake up properly, I do my skincare, next is makeup, I choose an outfit, get dressed, pack my bag for the day, head to class, classes last till the afternoon, get food, eat with someone, go back to my room, watch some Netflix, do homework, study for tests/exams, change my clothes to something comfy, go get dinner, come back to my dorm, watch my show, talk to my parents, set my alarm for the next day, enable sleep mode, arrange my pillows, play my sleep sound playlist and then I fall asleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,3,1,3,1,1,1,2,1,1,1,4,1,1,2,1,1,"i feel sad and self aware. It's not unbearable but it's still pretty awful...",2,1,1,"no","female","20","brown/indian",2,"india",2,2,1,3,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20
"I recently got into a fight with a friend, as I expressed issues with a certain individual that he was quite close with. It was a pretty unproductive argument, however the outcome was positive, as we resolved that we are each entitled to our own opinions and that I should make an effort to resolve my issues with that certain individual.","","","","","","","","","","","-Wake up at 8:30am 
-Shower, shave, brush teeth, get dressed 
-Get quick breakfast at 9:30am
-Attend classes from 10am-12pm
-12:15pm go to lunch for about 30 minutes 
-1:00pm relax for about an hour / take nap if needed 
-2:00/2:30pm go to gym for an hour 
-3:30/4:00pm Go back to dorm, snack and shower
-5:00pm Do schoolwork
-6:00pm Dinner 
6:30pm-8:30/9:30pm finish schoolwork 
10:00pm - relax and hang out with friends
12:00am-12:30am- go to bed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,4,2,3,1,4,4,2,3,1,3,4,4,3,2,4,2,"I feel like it was productive and likely the best way it could've ended up",3,3,2,"","Male","20","White",2,"Bermuda",2,2,2,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,21
"The outcome was a loss in low quality friends.","If I did not react negatively I would still be friends with 2 girls.","If I ignored the situation I would be subconsciously angry at the girl.","If I forgave the girl everything would remain the same.","If I was angry for a week instead of cutting someone off then we would still be friends but with a break.","If I did not care then I would not have as much self-respect.","","","","","","When I wake up I get ready by brushing my teeth, picking out an outfit, doing makeup and other hygiene tasks. Then I go to class and maybe get lunch in between if not after all my classes. Then I either take a nap, watch Netflix, or workout. Once a week I pick up groceries so if I hadnt gone grocery shopping I would do it at this point in the day. After I will do any homework and pick up dinner. Sometimes I will hangout with friends and watch a show or movie together. Once all my work is complete I will shower and get ready for bed. Then I will watch a movie or TV until I fall asleep.",2,2,2,9,2,2,7,7,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,"Not interested and motivated for that outcome to occur.",1,1,1,"","Female","19","White",2,"U.S.",1,2,2,1,1,0,0,5,0,"1",5,4,18,4,49,1,0.8,3.6,0.8,9.8,0.2,104,20.8,14,12
"My friends were all upset recently because we all had a big decision to make that could break out friend group apart a little bit.","","","","","","If everyone would have made a decision together, no one would have been upset","If everyone talked about their feelings about the situation, everyone would have been more understanding","","","","I wake up around 9:00am and then get up, wash my face, brush my teeth, brush my hair, and get dressed. I then will sit on my phone until it is time to go to class. I then have classes until either 12:15 or 12:50 depending on the day. After all of my classes are done, I will get food with some friends. We all come back to the dorm and work on some homework. Sometimes we will go to the roof or balcony of our dorm building to do work if it is nice out. We then will all get dinner together. After that, we will continue doing homework and then just hangout until we are all tired and go to bed.",4,4,4,4,NA,NA,NA,NA,NA,NA,4,2,4,1,4,1,1,1,4,4,1,3,1,3,1,4,3,2,NA,1,"We all worked it out a no one is upset anymore so I feel good",3,3,3,"","female","18","white",2,"america",1,3,2,5,0,1,0,0,2,"2",2,16,16,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,12
"I accidentally lost my roommate's charger. I was scared to tell her until she asked for it back. She got really angry at first, but then she calmed down as i offered to get her a new one. A friend had an extra she gave and my roommate tried to mess with me and pretend she was still mad.","","","","","","","","","","","My alarm goes off twice before I wake up, then I roll out of bed and get dressed, brush my teeth, look into my suitemates' rooms to see if they're awake, and get my backpack to go to class. I typically go to class then after I stop by Shortys to see if any of my friends are sitting outside. If a friend wants to go to the pit I will. If the shaded table by the outlets outside shortys is open I'll sit there to do work, otherwise Ill walk back to my room and try and find a shaded spot outside to do my work until I have another class. Typically someone will sit with me and we'll chat and talk to anyone we know who walks by. After class I often grab an early pit dinner before it gets crowded. Then I come back home, do some more work until I have an obligation or get really tired. If its not a busy week I'll stop my homework around 8 and watch tv with my friends until I go to sleep. My roommate gets home really late and we do a debrief before I fall asleep typically.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,3,1,1,"I feel good about it.",7,5,2,"","female","21","white",2,"US",3,2,2,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15
